"gene";"DE_log2_FC";"t.value";"p.value";"adj.p.value"
"IL1RL2";1.23703273021311;4.98959461243905;1.20136701000097e-05;8.31694928452689e-05
"IL1RN";0.571505731585721;1.70935152495574;0.0950690407570233;0.15251216538345
"IL20RA";-1.02286641400354;-3.96547490000707;0.000292211378387287;0.00123054026847232
"IL20RB";0.230059987387284;0.820509403086263;0.416747909712333;0.511649260457514
"IL20RB-AS1";0.122652419209392;1.03636607576141;0.306203911538211;0.399430913176517
"IL21R";0.22911089449122;1.05993895875923;0.295477457700659;0.38817626795969
"IL21R-AS1";0.166834506286498;0.796916022009082;0.430165203787195;0.524196473627945
"IL22RA1";-0.417233693871202;-1.41728401213193;0.164077344925355;0.238950055284631
"IL23A";0.160993639449507;1.1182078057358;0.270093050555018;0.360496096401946
"IL24";1.03833713995836;4.117289957153;0.000184478291536075;0.00083625779370176
"IL27";-0.869900109337196;-2.54795875171165;0.0147461583131391;0.0324253035889974
"IL27RA";-0.233537222737315;-2.18510884346307;0.0347469124168335;0.0658226480753408
"IL2RA";1.9796231941336;6.99876753159849;1.80076192976054e-08;3.97250651599877e-07
"IL2RB";-0.349344090979545;-1.78008714516171;0.0825948686046751;0.135812210574387
"IL2RG";-0.215930992742071;-1.32983469401287;0.191043204359852;0.271088189990922
"IL31RA";1.11753388944017;4.37939048808072;8.23524284747732e-05;0.000425140482972941
"IL32";-0.543295820017359;-2.42974186808191;0.0196515228073667;0.0410976618742001
"IL33";0.0213694790447002;0.111817666510829;0.911522502632725;0.936802891175134
"IL34";-0.330678526206835;-1.85927924850015;0.0702920019152182;0.118768676877517
"IL3RA";-0.47394214447025;-2.35102147432884;0.0236936902899807;0.0479748457677276
"IL4I1";0.518038645465028;2.78600415848762;0.00809304649939274;0.0196965383820691
"IL4R";0.108456991808398;0.64987861772298;0.519454355873377;0.608965965084277
"IL5RA";0.93664484265273;2.54077244636506;0.0150089972508068;0.0328948019718806
"IL6";-1.0313482228701;-1.52576915082944;0.134869979380207;0.203849785149257
"IL6-AS1";-0.244208039071498;-0.432648305018516;0.667574511935209;0.739047265444634
"IL6R";-0.436663826868138;-3.45670577505691;0.00130198323616325;0.00422939345749158
"IL6R-AS1";-0.400761508252477;-2.41315554537211;0.0204472520354177;0.0425193601708922
"IL6ST";0.238772524702683;1.75019629821518;0.0876875755473217;0.142852064319451
"IL6ST-DT";-1.19359959449727;-4.75926514109657;2.5004902590175e-05;0.00015536350759517
