gene;DE_log2_FC;std.error;t.value;abs_t.value;p.value;adj.p.value;gene_id;is_landmark;is_bing
LSM6;-0,577664252757565;0,0847312653174514;-6,81760446504967;6,81760446504967;3,32341861270152e-08;6,1538571051263e-07;11157;1;1
ARHGAP1;0,616467506118379;0,0915893994445253;6,7307735377364;6,7307735377364;4,39655435112272e-08;7,78349380624668e-07;392;1;1
KDM5B;0,450728142829471;0,0673695323136569;6,69038551033702;6,69038551033702;5,00833066990992e-08;8,71352287425104e-07;10765;1;1
TXLNA;0,553443549882123;0,0831642986487563;6,65482134611135;6,65482134611135;5,61748878040269e-08;9,57704641124045e-07;200081;1;1
TGFB3;1,12424303984769;0,169211723848478;6,64400204831202;6,64400204831202;5,81717379981597e-08;9,85497679027647e-07;7043;1;1
GATA3;-1,40864911133691;0,212542893981111;-6,62759918692979;6,62759918692979;6,13358970683201e-08;1,02937080948789e-06;2625;1;1
TRIM2;1,08586962484724;0,164224152893748;6,61211889794181;6,61211889794181;6,44804502455453e-08;1,07099969264692e-06;23321;1;1
CRELD2;0,76591716294468;0,11599163283839;6,60321045753209;6,60321045753209;6,63628987120953e-08;1,0876377785091e-06;79174;1;1
ERO1A;0,452297868450402;0,0688314123549731;6,57109672714311;6,57109672714311;7,36186158966834e-08;1,17440260848834e-06;30001;1;1
XBP1;1,03238122933675;0,157191020396528;6,56768577958513;6,56768577958513;7,44346129751318e-08;1,1839067436518e-06;7494;1;1
HTRA1;0,83989288944482;0,128187902274978;6,55204488519635;6,55204488519635;7,82941741389314e-08;1,23193018586603e-06;5654;1;1
B4GAT1;-0,636327480155664;0,0975569181956572;-6,52262793787176;6,52262793787176;8,61055863725956e-08;1,33273598562113e-06;11041;1;1
TXNRD1;0,862501589174668;0,13247106095649;6,51086798087892;6,51086798087892;8,94429669372621e-08;1,37384397215635e-06;7296;1;1
RUVBL1;0,908294628266081;0,140164186835018;6,48021901154537;6,48021901154537;9,87636113647712e-08;1,48264977547087e-06;8607;1;1
ABHD4;0,513144877383936;0,0794621864835828;6,45772410868601;6,45772410868601;1,06219083097514e-07;1,56590619030778e-06;63874;1;1
CD58;-0,665535804289261;0,103575105726179;-6,42563480503448;6,42563480503448;1,17841941264089e-07;1,70300611891329e-06;965;1;1
NUCB2;0,81524336436957;0,127018930417768;6,41828239057135;6,41828239057135;1,20679796467417e-07;1,7377890691308e-06;4925;1;1
SH3BP5;-0,565929661683799;0,0883821333977744;-6,40321340894505;6,40321340894505;1,26712021415668e-07;1,81331985926521e-06;9467;1;1
ASCC3;0,624516778374813;0,0977099712099911;6,39153579354401;6,39153579354401;1,3159381357335e-07;1,8584457314457e-06;10973;1;1
PECR;-0,548658425270909;0,0860439550114589;-6,37649007647128;6,37649007647128;1,38162642637145e-07;1,93764095691467e-06;55825;1;1
MTFR1;0,379419979720133;0,059579095580366;6,36834070782991;6,36834070782991;1,41856797649416e-07;1,97908394128442e-06;9650;1;1
GTF2E2;0,42633040711306;0,0670715946453865;6,35634815851787;6,35634815851787;1,47473901512499e-07;2,0354463281657e-06;2961;1;1
GNB5;0,537117415965643;0,084507850229376;6,35582865387971;6,35582865387971;1,47722203924009e-07;2,03629376486019e-06;10681;1;1
TBX2;-0,844592335623755;0,133060759093349;-6,34741858815964;6,34741858815964;1,51800676158439e-07;2,08183784445859e-06;6909;1;1
SLC35A1;-0,589277979412784;0,0932053895023217;-6,32235949615451;6,32235949615451;1,64634538662905e-07;2,23128221811372e-06;10559;1;1
PPIC;0,583313691074771;0,092307407750348;6,31925113369432;6,31925113369432;1,66300470288095e-07;2,247793532617e-06;5480;1;1
NFATC4;0,785606194029835;0,124331063418874;6,31866383530488;6,31866383530488;1,66617125837693e-07;2,24870377030152e-06;4776;1;1
PLA2G4A;0,682909724982265;0,109086730858539;6,26024558264422;6,26024558264422;2,01331647024539e-07;2,64040165488825e-06;5321;1;1
DUSP6;-1,10250849867008;0,176114309742844;-6,26018692223206;6,26018692223206;2,01369917876522e-07;2,64040165488825e-06;1848;1;1
COPB2;0,444946009483614;0,0721739374763403;6,16491250223771;6,16491250223771;2,74215760330784e-07;3,41509790163311e-06;9276;1;1
SLC27A3;-0,872636225887812;0,142640038899696;-6,11775089672717;6,11775089672717;3,19512278433246e-07;3,90385911103893e-06;11000;1;1
ABL1;0,81662340542661;0,133819504264932;6,10242438060361;6,10242438060361;3,35788598703984e-07;4,05359170651037e-06;25;1;1
ABCB6;0,740309959431516;0,121509953344924;6,09258697787525;6,09258697787525;3,46670116225612e-07;4,16624115833582e-06;10058;1;1
ARHGEF2;-0,82601456870804;0,135669255701228;-6,08844328391614;6,08844328391614;3,5135854798465e-07;4,20067506441544e-06;9181;1;1
PRKCQ;-0,852258701438413;0,140182327183591;-6,07964440711736;6,07964440711736;3,61525549243385e-07;4,28726768985096e-06;5588;1;1
CISD1;0,544621256781337;0,0899156423974045;6,05702458727091;6,05702458727091;3,8903366828136e-07;4,56476551189998e-06;55847;1;1
TSKU;1,00150186732593;0,165402527428363;6,05493690390969;6,05493690390969;3,91675689601652e-07;4,59080343161006e-06;25987;1;1
UGDH;0,755099087350692;0,125035091564827;6,03909732780255;6,03909732780255;4,12314439625871e-07;4,78747824498635e-06;7358;1;1
HDAC2;0,3390743092691;0,0563684437165157;6,01532146202846;6,01532146202846;4,45353159984966e-07;5,11587384462815e-06;3066;1;1
GAPDH;0,778350843639354;0,129399474312837;6,01510050773167;6,01510050773167;4,45672293632351e-07;5,11587384462815e-06;2597;1;1
MAPKAPK5;-0,368923392399703;0,0613663949881336;-6,01181464987542;6,01181464987542;4,5044526825299e-07;5,15598387961975e-06;8550;1;1
EPHA3;1,51985159570003;0,25346887764323;5,99620596355541;5,99620596355541;4,73825487672606e-07;5,38158976421393e-06;2042;1;1
CAT;-0,798803911091132;0,134375667446202;-5,94455771846446;5,94455771846446;5,60187340286336e-07;6,24374666491916e-06;847;1;1
TOMM34;0,734018243451709;0,123530107590633;5,94201897633067;5,94201897633067;5,64816460376238e-07;6,28231715375722e-06;10953;1;1
MBOAT7;0,625464998621252;0,106024394199177;5,89925557552591;5,89925557552591;6,48792521782159e-07;7,0462799941432e-06;79143;1;1
PAK4;-0,731093783816986;0,123993466331395;-5,89622828886002;5,89622828886002;6,55189678225818e-07;7,11096845923687e-06;10298;1;1
DNM1;1,08995948412991;0,18494601935358;5,89339250414536;5,89339250414536;6,612392968702e-07;7,14893727701071e-06;1759;1;1
PARP1;0,495463202160654;0,0842629381980557;5,87996588721003;5,87996588721003;6,9064861698768e-07;7,39882327900725e-06;142;1;1
MLLT11;1,02498470209591;0,17467597464903;5,86792032593707;5,86792032593707;7,18142828534973e-07;7,64502147763171e-06;10962;1;1
DERA;-0,363150902669401;0,0621023993642567;-5,84761468778957;5,84761468778957;7,66987175452063e-07;8,06386516668245e-06;51071;1;1
SPDEF;1,99161026054144;0,341717731181847;5,82823213080972;5,82823213080972;8,16701756224211e-07;8,48149769760726e-06;25803;1;1
FOS;-1,98402733815318;0,34289684040703;-5,78607646485769;5,78607646485769;9,3621315307424e-07;9,50834114154996e-06;2353;1;1
CTNND1;-0,419398625954423;0,0724990191419344;-5,78488689803304;5,78488689803304;9,39827554921393e-07;9,53304327407058e-06;1500;1;1
FBXO7;-0,305904053647535;0,0531898866921714;-5,75116949238695;5,75116949238695;1,04827332123402e-06;1,04082202893754e-05;25793;1;1
DHDDS;0,313491973991749;0,0547889328295702;5,72181201205208;5,72181201205208;1,15281104224914e-06;1,12818789377391e-05;79947;1;1
MELK;1,19026269107965;0,208566406184934;5,70687635104693;5,70687635104693;1,20992162597537e-06;1,17339843558212e-05;9833;1;1
ZNF274;-0,542848500872997;0,0954594163812499;-5,68669410993406;5,68669410993406;1,29160084633797e-06;1,23993681248445e-05;10782;1;1
IPO13;0,382934306303382;0,067500460006104;5,67306217274303;5,67306217274303;1,34985841960467e-06;1,28591356121584e-05;9670;1;1
CASK;0,497074307355875;0,0876581226610845;5,67060179097983;5,67060179097983;1,36064880936684e-06;1,29542762676909e-05;8573;1;1
INTS3;-0,645636748539861;0,11402013407124;-5,66248017333908;5,66248017333908;1,3968815055428e-06;1,32577780263833e-05;65123;1;1
DNMT1;0,37778477438273;0,0667861344623996;5,65663483032427;5,65663483032427;1,42355281193794e-06;1,34499471300147e-05;1786;1;1
TMED10;0,332665000127964;0,0590133020642606;5,63711889508774;5,63711889508774;1,51633132982968e-06;1,41934948853703e-05;10972;1;1
RPL39L;0,79437917944565;0,14110231594382;5,62980964651162;5,62980964651162;1,55260977526274e-06;1,44910245691189e-05;116832;1;1
SPAG4;1,626777809486;0,290125058266338;5,60716064722892;5,60716064722892;1,67060840711769e-06;1,54316691960278e-05;6676;1;1
TSPAN4;-0,629284066402076;0,112639578162225;-5,58670475040108;5,58670475040108;1,78483939357857e-06;1,63581190948157e-05;7106;1;1
ST7;-0,346902669712137;0,0623518812550731;-5,5636279568375;5,5636279568375;1,92306929158715e-06;1,74930973123055e-05;7982;1;1
PTPN12;-0,488372518827192;0,0878348557678915;-5,56012205584698;5,56012205584698;1,94498268841107e-06;1,76724962246162e-05;5782;1;1
CDC20;1,32056117427161;0,2378983115236;5,55094807447006;5,55094807447006;2,00350777678483e-06;1,81113671527423e-05;991;1;1
TOP2A;1,29142611609998;0,233060918857491;5,54115259834552;5,54115259834552;2,06793441909995e-06;1,85699589706258e-05;7153;1;1
TMEM97;-0,536055308264297;0,0967834467343459;-5,53870859482487;5,53870859482487;2,08432804107596e-06;1,86859603371168e-05;27346;1;1
ADAT1;0,44647901335139;0,0807525972766029;5,5289740319071;5,5289740319071;2,15091851583505e-06;1,91359786304854e-05;23536;1;1
SNAP25;1,84565144567269;0,334236887859664;5,52198609043902;5,52198609043902;2,20002220209138e-06;1,9532986768201e-05;6616;1;1
LGMN;0,727172636654378;0,132232731465399;5,49918789845657;5,49918789845657;2,36811418478303e-06;2,07683227689944e-05;5641;1;1
FGFR4;-0,820293402999701;0,149321384637067;-5,49347573352246;5,49347573352246;2,41219538882107e-06;2,11204599516321e-05;2264;1;1
DMTF1;-0,589778628277195;0,107401424667217;-5,49134827684663;5,49134827684663;2,42882101397021e-06;2,12266362350824e-05;9988;1;1
VDAC1;0,439218819988168;0,0799869449310372;5,49113133858097;5,49113133858097;2,43052273429991e-06;2,12266362350824e-05;7416;1;1
LRRC41;0,391318447976037;0,0714055245315912;5,48022650268342;5,48022650268342;2,51760941354574e-06;2,18536085154282e-05;10489;1;1
ITGB5;0,672591641632494;0,123049447424879;5,4660273224153;5,4660273224153;2,63567398477673e-06;2,27559689649245e-05;3693;1;1
CLSTN1;0,640508053788469;0,118148099588058;5,42123026965056;5,42123026965056;3,04546463761275e-06;2,55154564547628e-05;22883;1;1
PAK6;0,815633253881007;0,150519386574138;5,4187920403148;5,4187920403148;3,06950376451061e-06;2,5663533807168e-05;56924;1;1
MACF1;-0,685780447056094;0,127103047352588;-5,39546817594165;5,39546817594165;3,30920964714603e-06;2,73276667635285e-05;23499;1;1
PAK1;0,446835267367608;0,0829780770964314;5,38497978024156;5,38497978024156;3,42298189224115e-06;2,80945811491426e-05;5058;1;1
NFKBIA;-1,0493557466753;0,19512490515714;-5,37786678656026;5,37786678656026;3,50234386233772e-06;2,86439157260562e-05;4792;1;1
EPN2;-0,38550624164627;0,0719610940562058;-5,35714814654107;5,35714814654107;3,74408143325035e-06;3,03287520620099e-05;22905;1;1
MIF;0,682574560582158;0,127662761276803;5,34670058641591;5,34670058641591;3,87219681921594e-06;3,11942009492082e-05;4282;1;1
SACM1L;-0,430991718415874;0,0806960261647217;-5,34092865410878;5,34092865410878;3,94483468361718e-06;3,16528824763074e-05;22908;1;1
CCND3;-0,584270283648289;0,109436850033035;-5,33888067384905;5,33888067384905;3,97093192088569e-06;3,17990019960498e-05;896;1;1
TPD52L2;0,345466478354627;0,0650623439571293;5,30977609079472;5,30977609079472;4,36089059023965e-06;3,41917566550243e-05;7165;1;1
BUB1B;1,10612815721056;0,20898477574534;5,29286477096514;5,29286477096514;4,60470982298342e-06;3,58075024228913e-05;701;1;1
GPER1;-1,42287198501657;0,270145661997614;-5,26705472334826;5,26705472334826;5,00316211389886e-06;3,85712230272279e-05;2852;1;1
YKT6;0,424748168547177;0,0808920860046655;5,25080004146116;5,25080004146116;5,27147647651252e-06;4,02739803946916e-05;10652;1;1
TIMELESS;0,452280627114209;0,0864968253373993;5,22886967643023;5,22886967643023;5,65624079451625e-06;4,28080016583567e-05;8914;1;1
SMARCA4;0,333486617964587;0,0638394824166403;5,22383022763451;5,22383022763451;5,74852249223572e-06;4,33234442779335e-05;6597;1;1
CXCL2;-2,0320213225047;0,389434314355042;-5,21787949238631;5,21787949238631;5,85941672039593e-06;4,40562577466413e-05;2920;1;1
ACLY;0,343592500473642;0,0659296619738077;5,21150101770798;5,21150101770798;5,98063962843889e-06;4,47175502677155e-05;47;1;1
CIRBP;-0,55504020793883;0,106603695658465;-5,20657566804307;5,20657566804307;6,07594547499536e-06;4,53250918689756e-05;1153;1;1
UTP14A;0,436838008502571;0,084198676633946;5,18818140576871;5,18818140576871;6,44538567450913e-06;4,76621642175531e-05;10813;1;1
HERPUD1;0,734319243220188;0,141561875617835;5,18726698141933;5,18726698141933;6,46432185767403e-06;4,77583980396549e-05;9709;1;1
KIF2C;1,10990098484892;0,2141099267653;5,18379040905263;5,18379040905263;6,5368208328622e-06;4,81396558869414e-05;11004;1;1
CCDC86;0,741716154512204;0,143296256337447;5,17610280596267;5,17610280596267;6,70001048924395e-06;4,91618604051531e-05;79080;1;1
NUP62;0,400834937650097;0,0774502845052046;5,17538366980642;5,17538366980642;6,71548114651074e-06;4,92529695001934e-05;23636;1;1
WIPF2;-0,244500537012719;0,0473772438561269;-5,16071677270226;5,16071677270226;7,03885091520038e-06;5,14142153805941e-05;147179;1;1
DDIT4;1,44612881379921;0,280724720759815;5,1514124224083;5,1514124224083;7,25194474530844e-06;5,27794967745192e-05;54541;1;1
RPS5;0,478156089694387;0,0931932393024925;5,13080233365811;5,13080233365811;7,74701182296565e-06;5,58153533996223e-05;6193;1;1
