gene;DE_log2_FC;std.error;t.value;abs_t.value;p.value;adj.p.value;gene_id;is_landmark;is_bing
PPP2R5A;-0,775532072065862;0,0745726126869282;-10,3996902364372;10,3996902364372;5,9646043579409e-13;1,39416143601262e-10;5525;1;1
ACADL;-2,06848620167194;0,199470856796169;-10,3698667308861;10,3698667308861;6,49175903057934e-13;1,48428501242041e-10;33;0;1
COL15A1;2,48888728560024;0,240064636766938;10,3675714970736;10,3675714970736;6,53424081608686e-13;1,48428501242041e-10;1306;0;1
CA2;-1,93782846498236;0,187295801440948;-10,3463529351635;10,3463529351635;6,94059733838706e-13;1,5546938037987e-10;760;0;1
TNNC1;-2,48341250960935;0,241560695272222;-10,2806978047927;10,2806978047927;8,36819298958473e-13;1,82381373697328e-10;7134;0;1
DENND3;-1,16687684790823;0,113738289612779;-10,2593141841753;10,2593141841753;8,89491832261834e-13;1,91276323609585e-10;22898;0;1
CAV2;-1,46396879410514;0,14290350599659;-10,2444568024809;10,2444568024809;9,28060972810054e-13;1,96944307493165e-10;858;0;1
HPCAL1;-1,27386766525303;0,12467291053841;-10,217678080601;10,217678080601;1,00192225383936e-12;2,05599843990378e-10;3241;0;1
MFAP3L;-1,50048608508549;0,146929629291667;-10,2122770765786;10,2122770765786;1,0175285953869e-12;2,05599843990378e-10;9848;0;1
SELENBP1;-1,30181730013844;0,127501419379419;-10,2102181016863;10,2102181016863;1,02354287004471e-12;2,05599843990378e-10;8991;0;1
TSHZ2;1,79952609537239;0,176507443812954;10,195185293598;10,195185293598;1,06856226593502e-12;2,0763580993976e-10;128553;0;1
COL6A3;2,26066538197662;0,222510232501687;10,1598266136344;10,1598266136344;1,18255023671877e-12;2,27049645450003e-10;1293;0;1
RCC1;0,996008510325998;0,0982874951158425;10,1336239076201;10,1336239076201;1,27492884397515e-12;2,41906498772133e-10;1104;0;1
PLLP;-1,81718062465004;0,179584536694734;-10,118803423142;10,118803423142;1,33039128305981e-12;2,4949477457196e-10;51090;0;1
COL14A1;2,64761147683222;0,263247666852233;10,0574926588747;10,0574926588747;1,58714172452456e-12;2,87611480147552e-10;7373;0;1
CFH;1,8300488740723;0,182959942261302;10,0024565566305;10,0024565566305;1,86032276037787e-12;3,11484672561334e-10;3075;0;1
