"gene";"DE_log2_FC";"std.error";"t.value";"p.value";"adj.p.value"
"ABCC11";0,447128397463721;0,185879515335971;2,40547430229497;0,0208255435465611;0,0431773891445802
"ABCC13";-2,4131377125189;0,358668915131761;-6,72803694636433;4,31499537532387e-08;8,10597351713401e-07
"ABCC2";0,0835206954675573;0,129517924624701;0,644858197887063;0,522669575690046;0,611906534352626
"ABCC3";0,838693421558909;0,185865237810904;4,51237375765866;5,44084863426433e-05;0,000297863408282607
"ABCC4";0,155484417928797;0,11431532670726;1,36013623376123;0,181339475095708;0,259445165975553
"ABCC5";0,247650993955028;0,152134797769587;1,627839242473;0,111345261894189;0,173979986473079
"ABCC6";-0,66252484774387;0,133032670539473;-4,98016648885723;1,23811508503361e-05;8,51957028782586e-05
"ABCC6P1";-0,685254268857175;0,230564143693704;-2,97207648110069;0,00496857049738801;0,0130538829833646
"ABCC6P2";-0,163310163350802;0,154979791598975;-1,05375134180967;0,298267446667436;0,391105538859063
"ABCC8";0,26333038458934;0,387396637802849;0,679743598403021;0,500548994744076;0,591487411184774
"ABCC9";0,0758870465156054;0,139915053807689;0,54237942558998;0,590540996837721;0,67283867076788
"ABCD1";0,300730736509467;0,11709797542958;2,56819757477635;0,0140283782963969;0,0311468282253335
"ABCD2";0,281813996342024;0,240968242794846;1,16950679090918;0,249063185812959;0,337210735997138
"ABCD3";-0,0378611799576455;0,071909630282648;-0,526510563450658;0,601416614686028;0,682034111954113
"ABCD4";-0,365027346616054;0,0982103001493629;-3,71679290319755;0,00061256112595095;0,00225756732403006
"ABCE1";0,4326848524864;0,0931888040004952;4,64309910538288;3,60916175203966e-05;0,000210471219282916
"ABCF1";0,194097655117136;0,0787751699597868;2,46394460610138;0,0180985808438888;0,0383690623082481
"ABCF1-DT";-0,52829512957319;0,215360503730579;-2,45307343000135;0,01857965397203;0,0392237139409522
"ABCF2";0,551183087711081;0,100324733247779;5,49399006474095;2,36894871873701e-06;2,14593634249425e-05
"ABCF2-H2BK1";0,699352465296651;0,120930967853244;5,78307176161323;9,27742231961825e-07;9,75271280110602e-06
"ABCF3";0,0234916288771392;0,0569336677704565;0,412614008495852;0,682074149713017;0,75141349388818
"ABCG1";-0,549522585108638;0,146723107262206;-3,7453036223299;0,000563231912105584;0,0021062557127833
"ABCG2";-0,72679755134944;0,209094206425941;-3,47593347406717;0,00123234506933424;0,00403528213730704
"ABCG5";-0,455833922566214;0,209923913681343;-2,1714244679058;0,0358364259916942;0,0675328843499267
"ABHD1";0,127202252169789;0,144836956513167;0,878244442800241;0,385012047462024;0,480011851545436
"ABHD10";-0,102637709806558;0,105938321276028;-0,9688440270743;0,338396033264874;0,432712630340648
"ABHD11";0,0442419113918585;0,138268070071155;0,319972003435723;0,750640915586588;0,809293235260551
"ABHD11-AS1";-0,122343153532568;0,256077621954879;-0,477758082094829;0,635401033339577;0,711771507971519
"ABHD12";0,168702023623656;0,0989634915715034;1,70468948644324;0,0959435007345122;0,153653022970146
"ABHD12B";0,677863173073837;0,353510591871888;1,91751870710424;0,0622716479817815;0,107217816371528
"ABHD13";0,0466967326858298;0,0865318732348392;0,539647773013065;0,592406413801679;0,67453789335379
"ABHD14A";-0,0739391179859388;0,0971082370683547;-0,761409332700509;0,450840923977798;0,543788230732556
"ABHD14A-ACY1";0,219370161961968;0,0933444880608428;2,35011371875521;0,023744380481318;0,0480684881193829
"ABHD14B";-0,0605134656002778;0,0663448866827894;-0,912104438275809;0,367132396984936;0,462220734373786
"ABHD15";0,0169918273840965;0,0770959147105638;0,220398544435043;0,826672388782316;0,870596150754856
"ABHD16A";0,107294937863914;0,0786118278119618;1,36487015822303;0,179858369917931;0,257820426799625
"ABHD16B";0,149788409877445;0,136328071813732;1,09873489652302;0,278398028583611;0,369575005310878
"ABHD17A";-0,2396020949217;0,0986332694054968;-2,4292218676911;0,0196760377482919;0,0411409790251967
"ABHD17B";0,241273447636372;0,0677562969331881;3,56090073627079;0,000965113930517769;0,00330422885150056
"ABHD17C";0,00689879300581992;0,108761261665874;0,0634306084735732;0,949736874012168;0,963591652415969
"ABHD18";-0,464157582940157;0,101119816495289;-4,5901743004229;4,26307424331833e-05;0,000242519496099287
"ABHD2";0,27675173543716;0,134827727241687;2,0526322077733;0,0466340440659998;0,0840725881066563
"ABHD3";-0,265155899551062;0,0846392362044356;-3,13277755615151;0,00322025455826637;0,00903416241838766
"ABHD4";0,502001630141727;0,0818190871668107;6,13550758783533;2,95098410864765e-07;3,79229495814987e-06
"ABHD5";-0,492106600848337;0,114561975863167;-4,29554917450191;0,000106760181691104;0,000526585456048773
"ABHD6";-0,349464130473832;0,131823501189276;-2,65100021863371;0,0114128735626365;0,0262388183118046
"ABHD8";0,0773745580045435;0,105637467294648;0,732453740004271;0,468126141197583;0,560575355337366
"ABI1";-0,0922545742611028;0,0502279750022188;-1,83671697409715;0,0736274246422961;0,123526714992165
"ABI2";-0,309490875130157;0,0819344994433523;-3,77729622116178;0,000512444492577282;0,00195105757633092
"ABI3";-0,349611396867536;0,120258882307851;-2,90715654559774;0,00590113018006428;0,0150739327463139
"ABI3BP";-0,484119466673868;0,157481258814688;-3,07414018860202;0,00377714974313903;0,0103339187852429
"ABITRAM";0,134677553455327;0,0989634255067508;1,36088209119378;0,18110549697236;0,259144674687837
