"gene";"DE_log2_FC";"std.error";"t.value";"p.value";"adj.p.value"
"ABCD4";-0,351926457441686;0,103123883368518;-3,41265714542633;0,00148202390960986;0,00468392741802622
"ABCE1";0,443291539330159;0,0894366464923653;4,95648659375886;1,35203230841985e-05;8,96610899267901e-05
"ABCF1";0,205471809607131;0,0777656296718446;2,64219309319787;0,0116893071941091;0,0266868675542151
"ABCF2";0,563604179521379;0,0989888258003389;5,69361415255266;1,26299350215982e-06;1,21681954616688e-05
"ABCF2-H2BK1";0,710591027739143;0,117586936725168;6,04311199465961;4,06982693709888e-07;4,732384199101e-06
"ABCF3";0,0364514403836768;0,0583946607725845;0,624225569622458;0,536014083286736;0,623905538051998
"ABCG1";-0,538226097131849;0,144183259143073;-3,73293057967131;0,000587301372336917;0,00216750492747135
"ABCG2";-0,713909916103964;0,206765254965591;-3,45275571673186;0,00132233136500136;0,00426019981117499
"ABHD1";0,142488373173644;0,14935879357346;0,954000563104193;0,345797801663607;0,439447399356288
"ABHD10";-0,0896844693623427;0,109770046670568;-0,817021328518662;0,418742885811723;0,512715249193096
"ABHD11";0,0570119323063277;0,143440850161297;0,397459525945494;0,693136009350259;0,761003779658301
"ABHD12";0,181325445226622;0,0999168827848448;1,81476283259435;0,0770440232014383;0,128152437644673
"ABHD13";0,0570126707397816;0,0814130856617216;0,700288783754914;0,48778940199782;0,578909294473763
"ABHD14A";-0,0615946395284941;0,101270136410926;-0,608221156912046;0,546469816193095;0,633196723583752
"ABHD14A-ACY1";0,230908808643272;0,0941819921104701;2,45172992701651;0,0186666846147466;0,039174533437428
"ABHD14B";-0,0491408528235834;0,0694250513385379;-0,707825948647232;0,483146449454529;0,574475518785214
"ABHD15";0,0274593010062604;0,0766675634309703;0,358160606355831;0,722101290724691;0,784838056779488
"ABHD16A";0,118140741537686;0,0782977545430924;1,50886500164785;0,139170982412391;0,208950810309723
"ABHD16B";0,161243059390288;0,138293121202368;1,16595140805548;0,250520664223652;0,33729003026956
"ABHD17A";-0,228629290063078;0,100086378557701;-2,28431973818765;0,0277203071158317;0,0545277610884416
"ABHD17B";0,250962032438002;0,0678241249521697;3,7001882827826;0,000646562482784674;0,00235130746504397
"ABHD17C";0,0189033392137967;0,111260009953282;0,169902368530563;0,865941002288786;0,899690554977359
"ABHD18";-0,4509839306644;0,103369013963027;-4,36285414143263;8,743585736267e-05;0,000435505098068296
"ABHD2";0,291776369398472;0,131781239598024;2,21409640923462;0,0325692957105893;0,0624289994319449
"ABHD3";-0,252941345117275;0,0873921908353708;-2,89432434064692;0,00611870826345096;0,0155283283828382
"ABHD4";0,513144877383936;0,0794621864835827;6,45772410868601;1,06219083097514e-07;1,56590619030778e-06
"ABHD5";-0,478556814499756;0,111357834661434;-4,29746874977171;0,000107004838900845;0,000515002698237192
"ABHD6";-0,339980761922567;0,133444622660144;-2,54772920141134;0,0147784366061584;0,032309424642012
"ABHD8";0,0886098079821;0,107002418428274;0,828110329501547;0,412508507738466;0,50619624231956
"ABI1";-0,0805280354850315;0,0485855364375312;-1,65744872630089;0,105231393990659;0,166042464250995
"ABI2";-0,296860287261672;0,0804447351023183;-3,69023885632904;0,000665685392375484;0,00241099798073923
"ABI3";-0,336278181176304;0,119972775164047;-2,80295409284721;0,00776341937649695;0,0189509059803222
"ABI3BP";-0,469973516951464;0,153349508959623;-3,06472136846039;0,00388596108773494;0,0105385539638455
"ABITRAM";0,144560217548461;0,103350511082028;1,39873732635658;0,169577054763208;0,244824880424404
"ABL1";0,816623405426607;0,133819504264932;6,1024243806036;3,35788598703996e-07;4,05359170651051e-06
"ABL2";0,528664208811794;0,147687306086702;3,57961847107857;0,000918558615651484;0,0031520241177079
"ABLIM1";-0,323561559864116;0,106751534030107;-3,03097808199047;0,0042557522948765;0,0113961352063888
"ABLIM2";0,480600645597948;0,154431482675177;3,11206392163455;0,00341790332510712;0,00942128607542772
"ABLIM3";0,0934516291884583;0,0881134174473455;1,06058341505484;0,295224195626779;0,386318525522815
"ABO";-0,414261673942828;0,186770341500838;-2,218027073324;0,0322791440240874;0,0619612038586624
"ABR";0,0471699613849112;0,0837249246915916;0,563392102873381;0,576304280378329;0,659753172393229
"ABRACL";0,301082282408478;0,12309525178569;2,44592929492249;0,0189290387338618;0,0396167275659787
"ABRAXAS1";-0,0951273035941537;0,0891394489248366;-1,06717401488948;0,292274724911414;0,383174017507013
"ABRAXAS2";-0,117305616036262;0,0480751751342674;-2,44004552679514;0,0191985662915752;0,0401028982192106
