"gene";"DE_log2_FC";"std.error";"t.value";"p.value";"adj.p.value"
"ABCD2";0,393363249911987;0,0431047734513831;9,12574683533954;2,66582640960598e-19;6,49448749541406e-19
"ABCD3";0,306731759613308;0,027264988378544;11,2500234863364;4,46769923354607e-28;1,64097766615993e-27
"ABCD4";-0,402718207692212;0,0361441293660304;-11,142008806296;1,35179819181532e-27;4,83535808300118e-27
"ABCE1";0,490587250255932;0,0359735998729283;13,6374244442831;1,13191398660387e-39;9,88437060902445e-39
"ABCF1";-0,151092313317742;0,0155873600596057;-9,69325868780654;1,70110665060126e-21;4,5611167124946e-21
"ABCF2";-0,0229836167177573;0,0135570461343163;-1,6953262893736;0,0902545528769178;0,1011515360191
"ABCF2-H2BK1";-0,00795554979522477;0,0138150454282836;-0,575861283737608;0,564809267175205;0,585331449266012
"ABCF3";-0,128426210870059;0,0184815162614099;-6,94890013641458;5,82077398097736e-12;1,05625965475487e-11
"ABCG1";0,0775129045960207;0,0275715428169514;2,81133722224513;0,00500806868581306;0,00610535269235358
"ABCG2";-0,474492377339936;0,0545134455354458;-8,70413478141664;9,56252187815174e-18;2,19469040737851e-17
"ABCG4";-0,224278305688875;0,0414959559808197;-5,40482320235112;7,71973334157144e-08;1,1818347170599e-07
"ABHD1";-0,236683317341253;0,0206877301354744;-11,4407581591273;6,13420093484103e-29;2,37634625177976e-28
"ABHD10";0,502916628364783;0,0321687880521596;15,6336827967947;1,34657190571122e-50;4,91710090950963e-49
"ABHD11";-0,351278976892277;0,0301229817397671;-11,6614942015695;5,95020552962461e-30;2,42565825420442e-29
"ABHD12";-0,121512664423213;0,0177483533618484;-6,84641904214137;1,16765847063624e-11;2,09041286718498e-11
"ABHD13";0,525630938312244;0,0364671407653413;14,4138237130948;8,72613768783937e-44;1,19523867438311e-42
"ABHD14A";-0,0581442385702205;0,0279607730820155;-2,07949323860502;0,0377689004164523;0,0434917847827435
