gene;DE_log2_FC;std.error;t.value;abs_t.value;p.value;adj.p.value;gene_id;is_landmark;is_bing
ZMIZ2;-0,543942575502572;0,0319280956990664;-17,0364866301274;17,0364866301274;7,27224558526647e-59;1,59390184564578e-56;83637;0;1
ELMO3;-0,938004434101611;0,055142141487081;-17,0106638734981;17,0106638734981;9,91371930701363e-59;2,12440569255295e-56;79767;0;1
RAB11FIP3;-0,530223778177514;0,0311967021522957;-16,9961483617427;16,9961483617427;1,27848592960995e-58;2,70408075969189e-56;9727;0;1
GNA11;-0,437126429415644;0,0257288743890381;-16,9897222399237;16,9897222399237;1,35678820922642e-58;2,7970446551217e-56;2767;1;1
TLE2;-0,68554424929765;0,040480689574404;-16,9350931643003;16,9350931643003;2,98335159418287e-58;5,9252273247393e-56;7089;0;1
DCP2;0,530761337212667;0,0313611947926721;16,9241427414202;16,9241427414202;3,46276952102636e-58;6,71365052612326e-56;167227;0;1
TMEM184B;-0,520839238367702;0,03080674305535;-16,906663499998;16,906663499998;4,35251808086263e-58;8,14771373160102e-56;25829;0;1
HS2ST1;0,536604516009727;0,0317951956123449;16,8769056354345;16,8769056354345;6,41605063114505e-58;1,18740682475941e-55;9653;1;1
MECP2;-0,248473643197458;0,0147329435695371;-16,8651730745253;16,8651730745253;7,88273076899128e-58;1,44245116071676e-55;4204;0;1
SERBP1;0,289342187143891;0,0171736604756922;16,8480206973597;16,8480206973597;1,01099016581833e-57;1,82944287116859e-55;26135;0;1
SMG5;-0,426084154137467;0,0253223113633904;-16,8264321539572;16,8264321539572;1,32105517711068e-57;2,29880092141897e-55;23381;0;1
ITM2B;0,38635189077561;0,0229630661189628;16,8249261128313;16,8249261128313;1,39052643273266e-57;2,38380141931411e-55;9445;0;1
SNX2;0,406788943495508;0,0241791497572994;16,8239556633997;16,8239556633997;1,41313352610504e-57;2,3973221464736e-55;6643;0;1
MDC1;-0,347225154949831;0,0206504110178838;-16,81444280451;16,81444280451;1,57681941890558e-57;2,64743103673157e-55;9656;0;1
ABTB2;-0,620105145838979;0,0369257669500801;-16,7932908929772;16,7932908929772;2,14023100803427e-57;3,52078810069152e-55;25841;0;1
CHST12;-0,630095041938165;0,0375401659052692;-16,7845566673355;16,7845566673355;2,33406804848314e-57;3,80126322375963e-55;55501;0;1
BRF1;-0,56234311419936;0,0335225104325544;-16,7750895426154;16,7750895426154;2,57621210666325e-57;4,15407825436809e-55;2972;0;1
IDUA;-0,910469104228654;0,0543514393272129;-16,7515178162503;16,7515178162503;3,68648302582995e-57;5,8289381124919e-55;3425;0;1
MBNL1;0,359598654017127;0,0214676542156825;16,7507194966106;16,7507194966106;3,8327916820814e-57;5,94484241279787e-55;4154;1;1
ZNF34;-0,376587087838501;0,0224908009946857;-16,7440496195526;16,7440496195526;4,16474136540344e-57;6,39877149782646e-55;80778;0;1
OSBPL8;0,52423382231653;0,0313197387268941;16,7381288486412;16,7381288486412;4,36838388696723e-57;6,64892523206994e-55;114882;0;1
SREBF2;-0,456976665647682;0,027304789176151;-16,7361360199339;16,7361360199339;4,70108459135158e-57;7,08906144951405e-55;6721;0;1
CEP164;-0,672786579492784;0,040212059991741;-16,7309652783509;16,7309652783509;4,80589582973794e-57;7,17698632013437e-55;22897;0;1
TMED10;0,460593786263653;0,0275312608344037;16,7298471738746;16,7298471738746;5,16855578313753e-57;7,58185997126614e-55;10972;1;1
ZZEF1;-0,342677453236395;0,0205170020746583;-16,7021210988546;16,7021210988546;6,98229403430746e-57;9,97488075813432e-55;23140;0;1
SRCAP;-0,488286130598225;0,0292568576494315;-16,6896300501265;16,6896300501265;8,40686248027938e-57;1,16028951147314e-54;10847;0;1
VPS9D1;-0,649172021597727;0,0389058877499143;-16,6857012946365;16,6857012946365;9,3774375674923e-57;1,2801231347083e-54;9605;0;1
ASNSD1;0,511775612372649;0,0306727635181625;16,6850180313752;16,6850180313752;9,43232077643348e-57;1,2801231347083e-54;54529;0;1
ZNF335;-0,561558985816209;0,0336849326769077;-16,6709249860303;16,6709249860303;1,13888369676485e-56;1,52031638405839e-54;63925;0;1
RSL24D1;0,72285170053997;0,0433838646346419;16,6617636908902;16,6617636908902;1,27812835078978e-56;1,67867728394858e-54;51187;0;1
SETD1A;-0,558076034942186;0,0334971814294996;-16,6603878632819;16,6603878632819;1,24391949055913e-56;1,647030310833e-54;9739;0;1
SDHD;0,455198285153737;0,0273323107436995;16,654218862877;16,654218862877;1,411054061596e-56;1,82384336882162e-54;6392;0;1
CLEC16A;-0,387083237368686;0,0232428341990262;-16,6538742243793;16,6538742243793;1,37880602444413e-56;1,79641879312776e-54;23274;0;1
ZMAT3;0,531469367780063;0,0319279616186137;16,6458909631807;16,6458909631807;1,61342058298558e-56;2,05751486980733e-54;64393;0;1
AP5Z1;-0,66041349210912;0,0396800902875536;-16,6434473138351;16,6434473138351;1,61710612388148e-56;2,05751486980733e-54;9907;0;1
AZI2;0,437167951639252;0,0262677240552208;16,6427799652617;16,6427799652617;1,63845412114329e-56;2,06851657495656e-54;64343;0;1
FAM222B;-0,337892264127554;0,0203350935268273;-16,6162139201271;16,6162139201271;2,41065615836307e-56;2,97423834811371e-54;55731;0;1
ZNF512B;-0,637394875963861;0,0383620599288326;-16,6152411300729;16,6152411300729;2,46978575176744e-56;3,02428050776575e-54;57473;0;1
MED24;-0,385056390315011;0,0231899991432935;-16,6044158922002;16,6044158922002;2,80201066927697e-56;3,40548848954065e-54;9862;0;1
GPNMB;1,39471511090158;0,0840147288113297;16,6008404792172;16,6008404792172;3,05929015392773e-56;3,66349995932846e-54;10457;0;1
ADH5;0,474502516782182;0,0285877398180139;16,5981123307686;16,5981123307686;3,14129028986107e-56;3,7342374934801e-54;128;1;1
MGAT4A;0,4757284891019;0,0286694544290042;16,5935661691775;16,5935661691775;3,3611580804802e-56;3,96665365932613e-54;11320;0;1
AIDA;0,473335795850415;0,0285496283399977;16,5794030736042;16,5794030736042;4,10089156335969e-56;4,70331830992084e-54;64853;0;1
ACTR3;0,456281200511815;0,0275219906729766;16,5787862489115;16,5787862489115;4,0838648460769e-56;4,70331830992084e-54;10096;0;1
CAPRIN1;0,327445892612475;0,0197530710175129;16,5769612392;16,5769612392;4,21377456219402e-56;4,79898828810432e-54;4076;0;1
MFSD1;0,495828024137035;0,0299131348597559;16,5755955188804;16,5755955188804;4,31413659729768e-56;4,87916865441597e-54;64747;0;1
C1orf159;-0,69659043717249;0,0420773752318171;-16,5549878844572;16,5549878844572;5,58877945635814e-56;6,19175933511896e-54;54991;0;1
TDP2;0,514451506765592;0,0311304490828966;16,5256693019644;16,5256693019644;8,28946002561253e-56;8,88172013007406e-54;51567;0;1
SUV39H1;-0,438176422592147;0,0265289796784375;-16,5168969143692;16,5168969143692;8,99948596121376e-56;9,57945283426976e-54;6839;1;1
