gene;DE_log2_FC;std.error;t.value;abs_t.value;p.value;adj.p.value;gene_id;is_landmark;is_bing
RHEB;0,35513090805888;0,0236728363596987;15,0016205351491;15,0016205351491;5,07117908726761e-47;1,07258730669143e-45;6009;1;1
ZMIZ1;-0,413408556487973;0,027620913407041;-14,96722973624;14,96722973624;7,89166248744639e-47;1,63308278615695e-45;57178;1;1
EVL;-0,486535886023959;0,0325362067706419;-14,9536757451077;14,9536757451077;9,45819573476445e-47;1,93550770272983e-45;51466;1;1
DYNLT3;0,822183057650945;0,0552343701750742;14,8853522733201;14,8853522733201;2,22963618689442e-46;4,32799224550209e-45;6990;1;1
NPEPL1;-0,625892893498115;0,0420650198975392;-14,8791774025698;14,8791774025698;2,43734106209975e-46;4,68786536412382e-45;79716;1;1
PMM2;-0,461567657306499;0,0311761850290031;-14,805135935558;14,805135935558;6,17343586087225e-46;1,12461494888328e-44;5373;1;1
TM9SF3;0,519455626019606;0,0352398705344323;14,7405656758033;14,7405656758033;1,42077326304737e-45;2,46418672651645e-44;56889;1;1
CALU;0,323259203730336;0,0219494689611925;14,7274270872735;14,7274270872735;1,69363104619451e-45;2,91878044638348e-44;813;1;1
GRB10;-0,330441898989165;0,0224450241830935;-14,722278590284;14,722278590284;1,8054502693645e-45;3,10164167583019e-44;2887;1;1
G3BP1;0,292181643949836;0,0199554034680604;14,6417307180728;14,6417307180728;5,02966951733162e-45;8,110217599927e-44;10146;1;1
MTA1;-0,46919933415637;0,032112097749311;-14,6112950271658;14,6112950271658;7,13783351622253e-45;1,13080502573152e-43;9112;1;1
EIF5;0,393746743657614;0,0269696135832639;14,5996435003413;14,5996435003413;8,14883727957213e-45;1,28224119744069e-43;1983;1;1
GDPD5;-0,526009668633797;0,0360855330594416;-14,5767465251887;14,5767465251887;1,12198112996225e-44;1,73199854811045e-43;81544;1;1
NCK1;0,323839790689703;0,022274756887728;14,5384208825246;14,5384208825246;1,84841477062801e-44;2,76176907838971e-43;4690;1;1
ABL1;-0,43265188379359;0,0297644030806167;-14,5358831024346;14,5358831024346;1,89584508288248e-44;2,82744807873846e-43;25;1;1
PTPRF;-0,375367008967722;0,0258445577825131;-14,5240252174755;14,5240252174755;2,20666721712763e-44;3,25228799078195e-43;5792;1;1
UFM1;0,403971898668263;0,0278910335613061;14,4839343361123;14,4839343361123;3,6032824685939e-44;5,1162212976042e-43;51569;1;1
IGHMBP2;-0,450002478422997;0,0310972420880587;-14,470816323477;14,470816323477;4,26197139267062e-44;5,99399534551242e-43;3508;1;1
ARHGEF2;-0,375651779714579;0,0262072089310949;-14,3339102115856;14,3339102115856;2,33511988264985e-43;3,04238099270683e-42;9181;1;1
KLHL9;0,375274590110831;0,0262124891446875;14,3166331148253;14,3166331148253;2,92089369455377e-43;3,76640338159166e-42;55958;1;1
SMNDC1;0,35767300355902;0,0250346308524221;14,2871291239517;14,2871291239517;4,2266182769394e-43;5,3819159701513e-42;10285;1;1
CSNK1A1;0,209979522403395;0,0147208038592507;14,2641342423323;14,2641342423323;5,61926617474086e-43;7,05049067194373e-42;1452;1;1
USP1;0,3749978640513;0,0263217096496418;14,2467137979543;14,2467137979543;6,99907735325257e-43;8,6682109334655e-42;7398;1;1
TMCO1;0,412416677835004;0,0289605034010832;14,2406598436261;14,2406598436261;7,41091079638822e-43;9,12275836961289e-42;54499;1;1
HDAC2;0,345381148424212;0,0242878671388703;14,220316112956;14,220316112956;9,6331892921399e-43;1,17254200905673e-41;3066;1;1
GPC1;-0,56231693462154;0,0395535102183484;-14,2166126727404;14,2166126727404;1,00660591129972e-42;1,22157852991261e-41;2817;1;1
SKP1;0,398331272873105;0,0280936197881989;14,1787094677073;14,1787094677073;1,56262815050817e-42;1,86030424409182e-41;6500;1;1
TM9SF2;0,408989842638868;0,0288502693078883;14,1762920225858;14,1762920225858;1,65241016149179e-42;1,96288489351242e-41;9375;1;1
DHRS7;0,307734130391141;0,0217638373751318;14,1396999567167;14,1396999567167;2,6226940320459e-42;3,06407424719509e-41;51635;1;1
KLHDC2;0,221532168026656;0,0157469649393264;14,0682454606477;14,0682454606477;6,25864459235121e-42;6,95756217276668e-41;23588;1;1
SUZ12;0,277809744929551;0,0197747843623127;14,0486864402429;14,0486864402429;7,98550085294183e-42;8,74004481794426e-41;23512;1;1
SLC25A46;0,554655683507254;0,0395397710504898;14,0277919869337;14,0277919869337;1,01941087275304e-41;1,0980241715381e-40;91137;1;1
BDH1;-0,47923420127309;0,0341886486971039;-14,0173484339463;14,0173484339463;1,17509682503154e-41;1,25380565615177e-40;622;1;1
STK25;-0,338474741525114;0,0241601182692129;-14,0096475420168;14,0096475420168;1,27664382202932e-41;1,35714238156459e-40;10494;1;1
HOOK2;-0,600288150991586;0,0429450896821121;-13,9780392923856;13,9780392923856;1,87430311790798e-41;1,95797951111285e-40;29911;1;1
PIK3CA;0,401986728234021;0,0287694898189144;13,9726748984522;13,9726748984522;2,01557470299118e-41;2,09882670159298e-40;5290;1;1
DLD;0,497865685479171;0,0356330606801156;13,9720157622327;13,9720157622327;2,01467425684252e-41;2,09882670159298e-40;1738;1;1
CLTC;0,454509220821405;0,0325520554116572;13,9625352400525;13,9625352400525;2,23632665379931e-41;2,31832055275465e-40;1213;1;1
CRYZ;0,60319560816547;0,0433352076461464;13,9192965934504;13,9192965934504;3,8390456737862e-41;3,89549519272785e-40;1429;1;1
SNX7;0,443136620507469;0,0318751291083244;13,9022690387077;13,9022690387077;4,77522329997486e-41;4,77765373982184e-40;51375;1;1
RPA3;0,461890069383275;0,0332331173869922;13,8984875840767;13,8984875840767;4,83157253171834e-41;4,8288981471926e-40;6119;1;1
SNX13;0,351273637738472;0,0252928626481195;13,8882515049987;13,8882515049987;5,59073818424214e-41;5,53163803575744e-40;23161;1;1
PSIP1;0,265800926684772;0,0191604112795351;13,8724019441414;13,8724019441414;6,81865484825562e-41;6,69370782752809e-40;11168;1;1
NNT;0,299595745264534;0,0216152294527027;13,8604008770804;13,8604008770804;7,91117932854962e-41;7,67827571780448e-40;23530;1;1
TIMM9;0,305271452135842;0,0220382016933252;13,8519220571568;13,8519220571568;8,65361667966934e-41;8,37888235702109e-40;26520;1;1
PPP1R13B;-0,264498579885634;0,0191448144420864;-13,8156773828104;13,8156773828104;1,36429597175832e-40;1,29631996476406e-39;23368;1;1
SSBP2;0,358917834767437;0,0260072429527282;13,8006875784496;13,8006875784496;1,63195600556536e-40;1,53630263044147e-39;23635;1;1
ATP6V1D;0,502722604822279;0,0365407873826916;13,7578481699714;13,7578481699714;2,69513991603261e-40;2,48826806533487e-39;51382;1;1
CHERP;-0,3965578446185;0,0288251631486273;-13,7573495273481;13,7573495273481;2,71589189857648e-40;2,50458751190355e-39;10523;1;1
DNMT1;-0,343947419181523;0,0250834061915655;-13,7121496400747;13,7121496400747;4,69262225448263e-40;4,21533624029256e-39;1786;1;1
FBXO11;0,284849862532226;0,0207991220042909;13,6952830255749;13,6952830255749;5,8076804777524e-40;5,16851826561068e-39;80204;1;1
AKAP8L;-0,422616391455931;0,0309913341340711;-13,6365988513969;13,6365988513969;1,14889898013592e-39;1,00165785816347e-38;26993;1;1
CAMSAP2;0,313387029631264;0,0229917267164088;13,6304260004798;13,6304260004798;1,26128258910829e-39;1,09611783597746e-38;23271;1;1
APPBP2;0,41386725197354;0,0304280012546386;13,6015260585165;13,6015260585165;1,77125665298526e-39;1,5126736156538e-38;10513;1;1
DPH2;-0,297186217819331;0,0219067668606074;-13,5659552005243;13,5659552005243;2,7339474457028e-39;2,28803022100287e-38;1802;1;1
PSMD10;0,422836294560048;0,0311735178216685;13,563958260307;13,563958260307;2,78371465886201e-39;2,32848366380209e-38;5716;1;1
PNKP;-0,511321746029677;0,0377717388913938;-13,5371513474637;13,5371513474637;3,81426005612227e-39;3,14845612133843e-38;11284;1;1
ARPP19;0,479568169884472;0,0354646455937727;13,5224295028252;13,5224295028252;4,53607864249595e-39;3,70670229662264e-38;10776;1;1
PPP2R5E;0,364386509589662;0,0269618343047705;13,5149005616873;13,5149005616873;5,00905062231183e-39;4,06666991201249e-38;5529;1;1
PPARD;-0,400253414778494;0,0296429696632089;-13,5024735823032;13,5024735823032;5,77640350682377e-39;4,64794997589585e-38;5467;1;1
FPGS;-0,483738805014032;0,0358462787144491;-13,4948123588361;13,4948123588361;6,34966730727644e-39;5,09412225449774e-38;2356;1;1
IGF1R;-0,31681281925456;0,0234820727689959;-13,4916888458355;13,4916888458355;6,52352934088163e-39;5,22588287484497e-38;3480;1;1
HADH;0,227495889405594;0,016878062850988;13,47879145931;13,47879145931;7,74636840737433e-39;6,17008494213407e-38;3033;1;1
CTTN;-0,297457257737307;0,0220693188789424;-13,4783161804385;13,4783161804385;7,74765056285409e-39;6,17008494213407e-38;2017;1;1
POLR2K;0,594432499183248;0,0441708525909188;13,4575735879153;13,4575735879153;9,58076065268095e-39;7,53415103764181e-38;5440;1;1
TXNRD1;0,349267164146462;0,0259557990530482;13,4562285457918;13,4562285457918;1,00914464682161e-38;7,92249743779138e-38;7296;1;1
PRCP;0,406851093561568;0,0302904593127978;13,4316581125487;13,4316581125487;1,35552938219604e-38;1,05274923788482e-37;5547;1;1
NRIP1;0,337041908079248;0,0251110312013831;13,4220656004236;13,4220656004236;1,51157560657851e-38;1,1644995425136e-37;8204;1;1
